abidjan,Africa/Abidjan
accra,Africa/Accra
adak,America/Adak
addis ababa,Africa/Addis_Ababa
adelaide,Australia/Adelaide
aden,Asia/Aden
akron,US/Eastern
albany,US/Pacific
albuquerque,US/Mountain
alexandria,US/Central
algiers,Africa/Algiers
almaty,Asia/Almaty
amman,Asia/Amman
amsterdam,Europe/Amsterdam
anadyr,Asia/Anadyr
anchorage,America/Anchorage
annapolis,US/Eastern
antananarivo,Indian/Antananarivo
apia,Pacific/Apia
aqtobe,Asia/Aqtobe
ashgabat,Asia/Ashgabat
asmara,Africa/Asmara
asuncion,America/Asuncion
athens,Europe/Athens
atlanta,US/Eastern
auckland,Pacific/Auckland
augusta,US/Central
austin,US/Central
baghdad,Asia/Baghdad
baku,Asia/Baku
baltimore,US/Eastern
bamako,Africa/Bamako
bangkok,Asia/Bangkok
bangui,Africa/Bangui
banjul,Africa/Banjul
baton rouge,US/Central
beirut,Asia/Beirut
belfast,Europe/Belfast
belgrade,Europe/Belgrade
berlin,Europe/Berlin
bethlehem,US/Eastern
billings,US/Mountain
birmingham,US/Central
bishkek,Asia/Bishkek
bismarck,US/Central
bissau,Africa/Bissau
blanc-sablon,America/Blanc-Sablon
bogota,America/Bogota
boise,America/Boise
boston,US/Eastern
bratislava,Europe/Bratislava
brazzaville,Africa/Brazzaville
brisbane,Australia/Brisbane
brussels,Europe/Brussels
bucharest,Europe/Bucharest
budapest,Europe/Budapest
buenos aires,America/Buenos_Aires
bujumbura,Africa/Bujumbura
cairo,Africa/Cairo
canberra,Australia/Canberra
caracas,America/Caracas
carson city,US/Pacific
casablanca,Africa/Casablanca
cayenne,America/Cayenne
charleston,US/Eastern
charlotte,US/Eastern
cheyenne,US/Mountain
chicago,America/Chicago
chihuahua,America/Chihuahua
chita,Asia/Chita
chongqing,Asia/Chongqing
cincinnati,US/Eastern
cleveland,US/Central
colombo,Asia/Colombo
columbia,US/Central
columbus,US/Central
conakry,Africa/Conakry
concord,US/Pacific
copenhagen,Europe/Copenhagen
coral harbour,America/Coral_Harbour
dakar,Africa/Dakar
dallas,US/Pacific
damascus,Asia/Damascus
danmarkshavn,America/Danmarkshavn
dar es salaam,Africa/Dar_es_Salaam
darwin,Australia/Darwin
delhi,US/Eastern
denver,America/Denver
des moines,US/Pacific
detroit,America/Detroit
dhaka,Asia/Dhaka
dili,Asia/Dili
djibouti,Africa/Djibouti
douglas,US/Mountain
dover,US/Eastern
dubai,Asia/Dubai
dublin,Europe/Dublin
dushanbe,Asia/Dushanbe
edmonton,America/Edmonton
el paso,US/Central
eucla,Australia/Eucla
fairbanks,US/Alaska
fakaofo,Pacific/Fakaofo
fargo,US/Central
fayetteville,US/Central
fortaleza,America/Fortaleza
freetown,Africa/Freetown
fresno,US/Pacific
funafuti,Pacific/Funafuti
gaborone,Africa/Gaborone
gaza,Asia/Gaza
gibraltar,Europe/Gibraltar
glasgow,US/Eastern
guatemala,America/Guatemala
guayaquil,America/Guayaquil
halifax,America/Halifax
hamburg,US/Eastern
harare,Africa/Harare
harbin,Asia/Harbin
harrisburg,US/Eastern
hartford,US/Eastern
havana,America/Havana
helena,US/Mountain
helsinki,Europe/Helsinki
hermosillo,America/Hermosillo
ho chi minh,Asia/Ho_Chi_Minh
hobart,Australia/Hobart
hong kong,Asia/Hong_Kong
